rowid,pl_name,hostname,pl_letter,k2_name,epic_hostname,epic_candname,hd_name,hip_name,tic_id,gaia_id,default_flag,disposition,disp_refname,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_refname,disc_pubdate,disc_locale,disc_facility,disc_telescope,disc_instrument,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_cmassj,pl_cmassjerr1,pl_cmassjerr2,pl_cmassjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tsystemref,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandur,pl_trandurerr1,pl_trandurerr2,pl_trandurlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_umag,sy_umagerr1,sy_umagerr2,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_imag,sy_imagerr1,sy_imagerr2,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w4mag,sy_w4magerr1,sy_w4magerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,rowupdate,pl_pubdate,releasedate,pl_nnotes,k2_campaigns,k2_campaigns_num,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec
1,BD+20 594 b,BD+20 594,b,K2-56 b,EPIC 210848071,EPIC 210848071.01,,,TIC 26123781,Gaia DR2 58200934326315136,0,CONFIRMED,Espinoza et al. 2016,1,1,0,0,Transit,2016,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,2016-10,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,41.688644,0.003353,-0.003419,0,,,,,2.35545351,0.30999992,-0.16677291,0,0.21013949,0.02765634,-0.01487848,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.52554,0.32948,-0.53504,0,2457068.529,0.002801,-0.002798,0,,0,,,,,,,,,,,,,54.721028,5.823183,-12.995528,0,0.022586,0.001847,-0.000943,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5703,50,-50,0,0.956122,0.098585,-0.054675,0,0.963861,0.029568,-0.032166,0,-0.06,0.08,-0.08,0,[Fe/H],,,,,4.38,0.1,-0.1,0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,-28.05348,166.7966,1.31208,56.28872,63.0539428,0.0602311,-0.0602311,36.5714,0.0750147,-0.0750147,-51.3647,0.0511293,-0.0511293,179.461,1.257,-1.24,5.54366,0.0384779,-0.0384779,11.765,0.161,-0.161,10.849,0.012,-0.012,9.770001,0.022,-0.022,9.432,0.022,-0.022,9.368,0.018,-0.018,,,,,,,,,,,,,,,,9.31,0.024,-0.024,9.344,0.02,-0.02,9.332,0.038,-0.038,8.976,0.527,-0.527,10.8644,0.000249,-0.000249,,,,10.4021,0.006,-0.006,11.04,,,2018-04-25,2018-03,2018-02-15,1,4,1,0,0,0,0,0,0
2,BD+20 594 b,BD+20 594,b,K2-56 b,EPIC 210848071,EPIC 210848071.01,,,TIC 26123781,Gaia DR2 58200934326315136,0,CONFIRMED,Espinoza et al. 2016,1,1,0,0,Transit,2016,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,2016-10,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,41.6855,0.003,-0.0031,0,0.241,0.019,-0.017,0,2.23,0.14,-0.11,0,0.19894727,0.01248996,-0.00981354,0,16.3,6,-6.1,0,0.05128528,0.01887802,-0.01919265,0,,,,,,,,,,,,,,,,,16.3,6,-6.1,0,0.05128528,0.01887802,-0.01919265,0,Mass,7.89,3.4,-3.1,0,0,,,0,,,,,546,19,-18,0,89.55,0.17,-0.14,0,2457151.902,0.0042,-0.0047,0,BJD-TDB,0,,,,,,,,,,,,,55.8,3.3,-3.3,0,0.02204,0.00058,-0.00057,0,,,,,,,,,,,,,3.1,1.1,-1.1,0,,,,,,,,,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,G,5766,99,-99,0,0.928,0.055,-0.04,0,0.961,0.032,-0.029,0,-0.15,0.05,-0.05,0,[Fe/H],-0.05552,0.06835,-0.06367,0,4.5,0.08,-0.08,0,3.34,1.95,-1.49,0,1.7,0.2,-0.26,0,3.3,0.31,-0.31,0,,,,,-20.33638,0.00073,-0.00073,0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,-28.05348,166.7966,1.31208,56.28872,63.0539428,0.0602311,-0.0602311,36.5714,0.0750147,-0.0750147,-51.3647,0.0511293,-0.0511293,179.461,1.257,-1.24,5.54366,0.0384779,-0.0384779,11.765,0.161,-0.161,10.849,0.012,-0.012,9.770001,0.022,-0.022,9.432,0.022,-0.022,9.368,0.018,-0.018,,,,,,,,,,,,,,,,9.31,0.024,-0.024,9.344,0.02,-0.02,9.332,0.038,-0.038,8.976,0.527,-0.527,10.8644,0.000249,-0.000249,,,,10.4021,0.006,-0.006,11.04,,,2018-04-25,2016-10,2016-07-28,1,4,1,0,0,0,0,0,0
3,BD+20 594 b,BD+20 594,b,K2-56 b,EPIC 210848071,EPIC 210848071.01,,,TIC 26123781,Gaia DR2 58200934326315136,1,CONFIRMED,Espinoza et al. 2016,1,1,0,0,Transit,2016,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...830...43E/abstract target=ref>Espinoza et al. 2016</a>,2016-10,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,1,0,0,1,0,0,0,0,0,0,Published Confirmed,0,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,41.6855,0.003,-0.003,0,,,,,2.57807,0.11209,-0.11209,0,0.23,0.01,-0.01,0,22.2481,9.5349,-9.5349,0,0.07,0.03,-0.03,0,,,,,,,,,,,,,,,,,22.2481,9.5349,-9.5349,0,0.07,0.03,-0.03,0,Mass,,,,,0,,,0,,,,,,,,,89.55,0.16,-0.16,0,,,,,,0,,,,,0.049,0.0025,-0.0025,0,,,,,55.8,3.3,-3.3,0,,,,,,,,,,,,,,,,,3.1,1.1,-1.1,0,,,,,,,,,<a refstr=STASSUN_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153..136S/abstract target=ref>Stassun et al. 2017</a>,,5766,99,-99,0,1.08,0.06,-0.06,0,1.67,0.4,-0.4,0,-0.15,,,0,[Fe/H],,,,,4.5,0.08,-0.08,0,,,,,1.89,0.34,-0.34,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,-28.05348,166.7966,1.31208,56.28872,63.0539428,0.0602311,-0.0602311,36.5714,0.0750147,-0.0750147,-51.3647,0.0511293,-0.0511293,179.461,1.257,-1.24,5.54366,0.0384779,-0.0384779,11.765,0.161,-0.161,10.849,0.012,-0.012,9.770001,0.022,-0.022,9.432,0.022,-0.022,9.368,0.018,-0.018,,,,,,,,,,,,,,,,9.31,0.024,-0.024,9.344,0.02,-0.02,9.332,0.038,-0.038,8.976,0.527,-0.527,10.8644,0.000249,-0.000249,,,,10.4021,0.006,-0.006,11.04,,,2018-04-25,2017-03,2018-04-26,1,4,1,0,0,0,0,0,0
4,EPIC 201111557.01,EPIC 201111557,,,EPIC 201111557,EPIC 201111557.01,,,TIC 176942156,Gaia DR2 3596276829630866432,1,CANDIDATE,Livingston et al. 2018,1,0,0,0,Transit,2018,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,2018-03,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,2.30183,0.00028,-0.0003,0,,,,,1.12,0.11,-0.08,0,0.0999,0.0098,-0.007,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1054,55,-55,0,,,,,2457583.169,0.0052,-0.0052,0,BJD,0,0.42,0.33,-0.28,0,2.268,,,0,1.9008,,,0,11.8,2.1,-3,0,0.0144,0.0014,-0.001,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4616.52,82.36,-115.56,0,0.762602,0.053651,-0.037585,0,0.73,0.084105,-0.081044,0,-0.03,0.034,-0.034,0,[M/H],-0.62345,0.01786,-0.01408,0,4.53679,0.075486,-0.090593,0,,,,,2.320574,0.535941,-0.565724,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h15m23.10s,183.8462454,-06d16m05.98s,-6.2683289,55.48289,286.98079,-4.22377,186.01709,73.41376,0.0959706,-0.0959706,-70.2608,0.0986645,-0.0986645,-21.2838,0.0591302,-0.0591302,97.1795,0.4642,-0.4598,10.2616,0.048551,-0.048551,12.737,0.028,-0.028,11.727,0.046,-0.046,9.873,0.023,-0.023,9.391,0.023,-0.023,9.22,0.019,-0.019,,,,,,,,,,,,,,,,9.186,0.022,-0.022,9.243,0.019,-0.019,9.183,0.039,-0.039,8.2,,,11.3995,0.001307,-0.001307,,,,10.7606,0.0061,-0.0061,11.363,,,2018-08-02,2018-08,2018-08-02,0,10,1,0,0,0,0,0,0
5,EPIC 201111557.01,EPIC 201111557,,,EPIC 201111557,EPIC 201111557.01,,,TIC 176942156,Gaia DR2 3596276829630866432,0,CANDIDATE,Livingston et al. 2018,1,0,0,0,Transit,2018,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,2018-03,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,2.302368,0.000105,-0.000103,0,,,,,1.31258765,0.524177,-0.12081424,0,0.12,0.05,-0.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.44384,1.87538,-9.52379,0,2457583.162,0.002087,-0.002129,0,BJD,0,,,,,,,,,,,,,12.619867,2.838328,-8.018827,0,0.016925,0.006744,-0.00148,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,4720,50,-50,0,0.710995,0.018609,-0.020398,0,,,,,-0.06,0.08,-0.08,0,[Fe/H],,,,,4.5,0.1,-0.1,0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h15m23.10s,183.8462454,-06d16m05.98s,-6.2683289,55.48289,286.98079,-4.22377,186.01709,73.41376,0.0959706,-0.0959706,-70.2608,0.0986645,-0.0986645,-21.2838,0.0591302,-0.0591302,97.1795,0.4642,-0.4598,10.2616,0.048551,-0.048551,12.737,0.028,-0.028,11.727,0.046,-0.046,9.873,0.023,-0.023,9.391,0.023,-0.023,9.22,0.019,-0.019,,,,,,,,,,,,,,,,9.186,0.022,-0.022,9.243,0.019,-0.019,9.183,0.039,-0.039,8.2,,,11.3995,0.001307,-0.001307,,,,10.7606,0.0061,-0.0061,11.363,,,2018-02-15,2018-03,2018-02-15,0,10,1,0,0,0,0,0,0
6,EPIC 201126503.01,EPIC 201126503,,,EPIC 201126503,EPIC 201126503.01,,,TIC 380166702,Gaia DR2 3598754063687508480,1,CANDIDATE,Vanderburg et al. 2016,1,0,0,0,Transit,2016,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,2016-01,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,1.1947488,,,0,,,,,4.19,,,0,0.37380676,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456810.382,,,0,BJD,0,0,,,0,0.448,,,0,1.93,,,0,,,,,0.06005,,,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,,3919,,,0,0.57,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h43m45.26s,175.9385954,-05d52m24.09s,-5.8733592,53.16141,274.05758,-7.00239,178.61429,89.484127,0.2649546,-0.2649546,39.3529,0.459132,-0.459132,-80.3664,0.191019,-0.191019,290.062,18.356,-16.325,3.4345,0.200346,-0.200346,20.514,0.173,-0.173,19.21,0.2,-0.2,15.073,0.038,-0.038,14.42,0.055,-0.055,14.23,0.07,-0.07,,,,,,,,,,,,,,,,14.117,0.028,-0.028,13.917,0.041,-0.041,12.433,,,8.74,,,17.8892,0.001662,-0.001662,,,,16.6126,0.0108543,-0.0108543,17.275,,,2015-12-05,2016-01,2015-12-05,0,1,1,0,0,0,0,0,0
7,EPIC 201127519.01,EPIC 201127519,,,EPIC 201127519,EPIC 201127519.01,,,TIC 96244568,Gaia DR2 3597255188821238016,0,CANDIDATE,Livingston et al. 2018,1,0,0,0,Transit,2018,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,2018-03,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,6.178369,0.000195,-0.000172,0,,,,,9.91257877,0.52940607,-0.36218238,0,0.88,0.05,-0.03,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.79651,0.82358,-1.00135,0,2457585.551,0.001116,-0.001211,0,BJD,0,,,,,,,,,,,,,17.277258,1.123995,-2.04578,0,0.115111,0.004916,-0.003363,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,,5015,50,-50,0,0.789478,0.025322,-0.017327,0,,,,,0.24,0.08,-0.08,0,[Fe/H],,,,,4.67,0.1,-0.1,0,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h05m29.23s,181.3718091,-05d50m53.79s,-5.8482738,55.20086,282.61866,-4.81927,183.58537,74.1657367,0.138433,-0.138433,-59.6141,0.13957,-0.13957,-44.1216,0.136333,-0.136333,117.704,0.778,-0.767,8.46751,0.0553409,-0.0553409,12.787,0.024,-0.024,11.733,0.046,-0.046,10.014,0.023,-0.023,9.569,0.027,-0.027,9.43,0.021,-0.021,,,,,,,,,,,,,,,,9.308,0.024,-0.024,9.416,0.02,-0.02,9.358,0.053,-0.053,8.18,,,11.4806,0.000478,-0.000478,,,,10.8612,0.0061,-0.0061,11.558,,,2018-02-15,2018-03,2018-02-15,0,10,1,0,0,0,0,0,0
8,EPIC 201127519.01,EPIC 201127519,,,EPIC 201127519,EPIC 201127519.01,,,TIC 96244568,Gaia DR2 3597255188821238016,1,CANDIDATE,Livingston et al. 2018,1,0,0,0,Transit,2018,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,2018-03,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,6.17887,0.00007,-0.00007,0,,,,,8.84,0.14,-0.13,0,0.789,0.012,-0.012,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772,10,-10,0,,,,,2457585.547,0.0005,-0.0005,0,BJD,0,0.17,0.14,-0.11,0,1.303,,,0,2.5008,,,0,18.1,0.2,-0.6,0,0.1058,0.0011,-0.0007,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,4719.28,100.72,-112.19,0,0.849432,0.053904,-0.052076,0,0.756,0.096466,-0.080306,0,0.213,0.041,-0.041,0,[M/H],-0.49154,0.0154,-0.01826,0,4.45833,0.062492,-0.110798,0,,,,,1.739007,0.360404,-0.512802,0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h05m29.23s,181.3718091,-05d50m53.79s,-5.8482738,55.20086,282.61866,-4.81927,183.58537,74.1657367,0.138433,-0.138433,-59.6141,0.13957,-0.13957,-44.1216,0.136333,-0.136333,117.704,0.778,-0.767,8.46751,0.0553409,-0.0553409,12.787,0.024,-0.024,11.733,0.046,-0.046,10.014,0.023,-0.023,9.569,0.027,-0.027,9.43,0.021,-0.021,,,,,,,,,,,,,,,,9.308,0.024,-0.024,9.416,0.02,-0.02,9.358,0.053,-0.053,8.18,,,11.4806,0.000478,-0.000478,,,,10.8612,0.0061,-0.0061,11.558,,,2018-08-02,2018-08,2018-08-02,0,10,1,0,0,0,0,0,0
9,EPIC 201147085.01,EPIC 201147085,,,EPIC 201147085,EPIC 201147085.01,,,TIC 49427200,,1,CANDIDATE,Kruse et al. 2019,1,0,0,0,Transit,2019,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,2019-09,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,1.17589,0.0001,-0.0001,0,,,,,0.86,0.18,-0.26,0,0.077,0.016,-0.023,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456810.741,0.0042,-0.004,0,BJD,0,,,,,0.0686,0.008,-0.0085,0,1.248,0.144,-0.192,0,6.3,2.5,-1.4,0,0.0254,0.0025,-0.0052,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.309,0.057,-0.07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h35m36.64s,173.902664,-05d21m52.60s,-5.364612,52.69306,270.68004,-7.34504,176.53728,86.0494399,2,-2,-80.31,2,-2,30.9,2,-2,166.5844,,,,,,18.15,0.162,-0.162,16.64,0.2,-0.2,12.258,0.024,-0.024,11.639,0.024,-0.024,11.397,0.023,-0.023,,,,,,,,,,,,,,,,11.284,0.024,-0.024,11.141,0.022,-0.022,10.779,0.106,-0.106,8.412,,,,,,,,,13.906,0.059,-0.059,14.519,,,2019-09-05,2019-09,2019-09-05,0,1,1,0,0,0,0,0,0
10,EPIC 201152065.01,EPIC 201152065,,,EPIC 201152065,EPIC 201152065.01,,,TIC 173145687,Gaia DR2 3785946674230162560,1,CANDIDATE,Kruse et al. 2019,1,0,0,0,Transit,2019,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,2019-09,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,0,0,0,1,0,0,0,0,0,0,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,10.6966,0.002,-0.0021,0,,,,,1.45,0.18,-0.36,0,0.129,0.016,-0.032,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2456817.315,0.0072,-0.0069,0,BJD,0,,,,,0.0557,0.0056,-0.0059,0,3.24,0.336,-0.432,0,21.9,9.6,-4.6,0,0.0226,0.0022,-0.0055,0,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,,,,,,0.588,0.041,-0.015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,11h32m10.39s,173.0432884,-05d14m49.80s,-5.2471672,52.38012,269.3565,-7.57839,175.69858,114.5051284,0.0628718,-0.0628718,-114.148,0.0630069,-0.0630069,9.036511,0.0352167,-0.0352167,212.291,1.408,-1.39,4.68183,0.0308071,-0.0308071,15.578,0.008,-0.008,14.346,0.183,-0.183,12.192,0.024,-0.024,11.527,0.025,-0.025,11.43,0.023,-0.023,17.5486,0.0130367,-0.0130367,15.439,0.0067876,-0.0067876,14.0473,0.0016425,-0.0016425,13.6339,0.0007428,-0.0007428,13.5414,0.0078686,-0.0078686,11.359,0.024,-0.024,11.386,0.022,-0.022,11.259,0.189,-0.189,8.931,,,13.9562,0.000535,-0.000535,,,,13.2264,0.0062,-0.0062,13.951,,,2019-09-05,2019-09,2019-09-05,0,1,1,0,0,0,0,0,0
